text,intent
查询订单状态,查询订单状态
我的订单什么时候能到,查询订单状态
订单号123456789的物流情况,查询订单状态
请问我的包裹现在在哪里,查询订单状态
订单已经发货了吗,查询订单状态
帮我查一下订单进度,查询订单状态
订单状态显示什么,查询订单状态
我想知道我的订单现在到哪了,查询订单状态
这个订单什么时候能送到,查询订单状态
订单追踪号码是多少,查询订单状态
物流信息更新了吗,查询订单状态
申请退货退款
我要退货,申请退货退款
怎么申请退款,申请退货退款
商品有质量问题需要退货,申请退货退款
不想要了想退款,申请退货退款
退货流程是怎样的,申请退货退款
退款需要多长时间,申请退货退款
退货地址在哪里,申请退货退款
退款金额什么时候到账,申请退货退款
商品损坏了要退货,申请退货退款
如何填写退货申请,申请退货退款
修改收货地址
我想改一下收货地址,修改收货地址
地址填错了需要修改,修改收货地址
能把收货地址改成另一个吗,修改收货地址
收货人电话需要更改,修改收货地址
地址变更怎么操作,修改收货地址
需要更改配送地址,修改收货地址
收货信息有误要修改,修改收货地址
配送地址需要更新,修改收货地址
联系人信息需要变更,修改收货地址
咨询产品功能
这个产品有什么功能,咨询产品功能
怎么使用这个功能,咨询产品功能
产品支持哪些特性,咨询产品功能
操作说明在哪里,咨询产品功能
产品使用方法是什么,咨询产品功能
这个功能如何开启,咨询产品功能
产品有哪些亮点,咨询产品功能
功能介绍能发我一份吗,咨询产品功能
产品性能怎么样,咨询产品功能
如何发挥产品最佳效果,咨询产品功能
投诉或反馈问题
服务态度太差了,投诉或反馈问题
产品质量有问题,投诉或反馈问题
客服回复太慢了,投诉或反馈问题
遇到问题没人解决,投诉或反馈问题
你们的售后服务不好,投诉或反馈问题
产品与描述不符,投诉或反馈问题
发货时间太长了,投诉或反馈问题
包装破损了,投诉或反馈问题
多次联系客服无果,投诉或反馈问题
其他问题
你们的营业时间是,其他问题
客服电话是多少,其他问题
如何联系人工客服,其他问题
有实体店吗,其他问题
支持哪些支付方式,其他问题
发票怎么开,其他问题
会员有什么优惠,其他问题
积分怎么使用,其他问题
客服工作时间,其他问题
咨询天气、日期、新闻等与客服业务完全无关的问题
今天天气怎么样,咨询天气、日期、新闻等与客服业务完全无关的问题
现在几点了,咨询天气、日期、新闻等与客服业务完全无关的问题
最近有什么新闻,咨询天气、日期、新闻等与客服业务完全无关的问题
明天是几号,咨询天气、日期、新闻等与客服业务完全无关的问题
这个月有多少天,咨询天气、日期、新闻等与客服业务完全无关的问题